"Item Code","ItemStatus","Description","Size","Age","Proof","Bottles Per Case","Unit Price","Effective Date"
"0888B",,"MARGARITAVILLE GOLD TEQUILA","750 ML",,80,12,13.95,04/01/2019
"0888H",,"MARGARITAVILLE GOLD TEQUILA","1.75 L",,80,6,25.95,04/01/2019
"0889B",,"FREMONT MISCHIEF WHISKEY","750 ML","8 YRS",90,9,20.00,04/01/2019
"0890B",,"THE BOTANIST","750 ML",,92,6,39.95,04/01/2019
"0891B",,"DRAMBUIE 15 YEAR","750 ML","15 YRS",86,6,25.00,04/01/2019
"0892B",,"MONTEZUMA","750 ML",,80,12,9.45,04/01/2019
"0892H",,"MONTEZUMA","1.75 L",,80,6,18.45,04/01/2019
"0893B",,"POTTERS WHITE TEQUILA","750 ML",,80,12,6.00,04/01/2019
"0894B",,"POTTERS GOLD TEQUILA","750 ML",,80,12,6.00,04/01/2019
"0895B",,"BAILEY'S VANILLA CINNAMON","750 ML",,34,12,24.95,04/01/2019
"0895F",,"BAILEY'S VANILLA CINNAMON","50 ML",,34,80,2.75,04/01/2019
"0896B",,"MONTE ALBAN MEZCAL","750 ML",,80,12,26.95,04/01/2019
"0897D",,"CLUB MARGARITA 19.9 PROOF (CAN)","200 ML",,20,24,1.00,04/01/2019
"0898B",,"TWO FINGERS","750 ML",,80,12,11.95,04/01/2019
"0899B",,"TORADA REPOSADO","750 ML",,80,12,9.45,04/01/2019
"0900B",,"ARANDAS GOLD TEQUILA","750 ML",,80,12,12.95,04/01/2019
"0900E",,"ARANDAS GOLD TEQUILA","375 ML",,80,24,7.45,04/01/2019
"0900H",,"ARANDAS GOLD TEQUILA","1.75 L",,80,6,25.95,04/01/2019
"0901B",,"PANCHO VILLA","750 ML",,80,12,13.45,04/01/2019
"0901E",,"PANCHO VILLA","375 ML",,80,24,4.00,04/01/2019
"0901H",,"PANCHO VILLA","1.75 L",,80,6,28.95,04/01/2019
"0902B",,"CUERVO ESPECIAL GOLD TEQUILA","750 ML",,80,12,16.95,04/01/2019
"0902D",,"CUERVO ESPECIAL GOLD TEQUILA","200 ML",,80,48,6.25,04/01/2019
"0902E",,"CUERVO ESPECIAL GOLD TEQUILA","375 ML",,80,24,8.95,04/01/2019
"0902F",,"CUERVO ESPECIAL GOLD TEQUILA","50 ML",,80,120,2.25,04/01/2019
"0902H",,"CUERVO ESPECIAL GOLD TEQUILA","1.75 L",,80,6,30.95,04/01/2019
"0903B",,"SOUTHERN COMFORT 70 (WAS 76 PROOF)","750 ML",,70,12,16.95,04/01/2019
"0903D",,"SOUTHERN COMFORT 70 (WAS 76 PROOF)","200 ML",,70,48,4.95,04/01/2019
"0903E",,"SOUTHERN COMFORT 70 (WAS 76 PROOF)","375 ML",,70,24,8.95,04/01/2019
"0903F",,"SOUTHERN COMFORT 70 (WAS 76 PROOF)","50 ML",,70,120,1.75,04/01/2019
"0903H",,"SOUTHERN COMFORT 70 (WAS 76 PROOF)","1.75 L",,70,6,31.95,04/01/2019
"0904D",,"CLUB STRAWBERRY MARGARITA 19.9 PRF (CAN)","200 ML",,20,24,1.00,04/01/2019
"0905D",,"CLUB LONG ISLAND ICED TEA (CAN)","200 ML",,30,24,1.00,04/01/2019
"0906B",,"SAUZA EXTRA GOLD TEQUILA","750 ML",,80,12,14.95,04/01/2019
"0906E",,"SAUZA EXTRA GOLD TEQUILA","375 ML",,80,24,8.95,04/01/2019
"0906H",,"SAUZA EXTRA GOLD TEQUILA","1.75 L",,80,6,31.95,04/01/2019
"0907B",,"JOSE CUERVO TRADICIONAL GOLD","750 ML",,80,12,18.95,04/01/2019
"0907F",,"JOSE CUERVO TRADICIONAL GOLD","50 ML",,80,60,3.25,04/01/2019
"0907H",,"JOSE CUERVO TRADICIONAL GOLD","1.75 L",,80,6,36.95,04/01/2019
"0908B",,"PANCHO VILLA","750 ML",,80,12,13.45,04/01/2019
"0908H",,"PANCHO VILLA","1.75 L",,80,6,28.95,04/01/2019
"0909B",,"ARANDAS WHITE TEQUILA","750 ML",,80,12,12.95,04/01/2019
"0909H",,"ARANDAS WHITE TEQUILA","1.75 L",,80,6,25.95,04/01/2019
"0910B",,"PATRON ANEJO","750 ML",,80,12,58.95,04/01/2019
"0910E",,"PATRON ANEJO","375 ML",,80,12,31.95,04/01/2019
"0910F",,"PATRON ANEJO","50 ML",,80,60,3.00,04/01/2019
"0910H",,"PATRON ANEJO","1.75 L",,80,3,137.95,04/01/2019
"0911B",,"PATRON SILVER TEQUILA","750 ML",,80,12,50.95,04/01/2019
"0911D",,"PATRON SILVER TEQUILA","200 ML",,80,12,18.95,04/01/2019
"0911E",,"PATRON SILVER TEQUILA","375 ML",,80,12,24.95,04/01/2019
"0911F",,"PATRON SILVER TEQUILA","50 ML",,80,60,7.00,04/01/2019
"0911H",,"PATRON SILVER TEQUILA","1.75 L",,80,3,114.95,04/01/2019
"0912B",,"AALBORG AKVAVIT","750 ML",,80,12,21.95,04/01/2019
"0913B",,"BENEDICTINE DOM","750 ML",,80,12,39.95,04/01/2019
"0914B",,"DRAMBUIE LIQUEUR","750 ML",,80,12,39.95,04/01/2019
"0914E",,"DRAMBUIE LIQUEUR","375 ML",,80,12,22.95,04/01/2019
"0914F",,"DRAMBUIE LIQUEUR","50 ML",,80,120,1.50,04/01/2019
"0914H",,"DRAMBUIE LIQUEUR","1.75 L",,80,6,84.45,04/01/2019
"0915B",,"B AND B DOM","750 ML",,80,12,39.95,04/01/2019
"0915E",,"B AND B DOM","375 ML",,80,12,5.00,04/01/2019
"0916B",,"SOUTHERN COMFORT 100","750 ML",,100,12,19.95,04/01/2019
"0916D",,"SOUTHERN COMFORT 100","200 ML",,100,48,2.00,04/01/2019
"0916E","@","SOUTHERN COMFORT 100","375 ML",,100,24,9.95,04/01/2019
"0916F",,"SOUTHERN COMFORT 100","50 ML",,100,120,1.50,04/01/2019
"0916H",,"SOUTHERN COMFORT 100","1.75 L",,100,6,44.95,04/01/2019
"0917B",,"COINTREAU","750 ML",,80,12,37.95,04/01/2019
"0917E",,"COINTREAU","375 ML",,80,24,21.95,04/01/2019
"0917H",,"COINTREAU","1.75 L",,80,6,69.95,04/01/2019
"0918B",,"KAHLUA MEXICAN COFFEE LIQUOR","750 ML",,40,12,19.95,04/01/2019
"0918D",,"KAHLUA MEXICAN COFFEE LIQUOR","200 ML",,40,48,4.95,04/01/2019
"0918E",,"KAHLUA MEXICAN COFFEE LIQUOR","375 ML",,40,24,12.95,04/01/2019
"0918F",,"KAHLUA MEXICAN COFFEE LIQUOR","50 ML",,40,120,2.50,04/01/2019
"0918H",,"KAHLUA MEXICAN COFFEE LIQUOR","1.75 L",,40,6,39.95,04/01/2019
"0919B",,"GALLIANO L'AUTENTICO HOLLAND HERB LIQUER","750 ML",,85,12,34.95,04/01/2019
"0919E",,"GALLIANO L'AUTENTICO HOLLAND HERB LIQUER","375 ML",,85,24,22.95,04/01/2019
"0919F",,"GALLIANO L'AUTENTICO HOLLAND HERB LIQUER","50 ML",,85,120,0.50,04/01/2019
"0920D",,"CLUB PINA COLADA (CAN)","200 ML",,20,24,1.00,04/01/2019
"0921B",,"SAUZA SILVER","750 ML",,80,12,14.95,04/01/2019
"0921H",,"SAUZA SILVER","1.75 L",,80,6,31.95,04/01/2019
"0922B",,"CAFE LOLITA COFFEE LIQUEUR","750 ML",,48,12,9.95,04/01/2019
"0922H",,"CAFE LOLITA COFFEE LIQUEUR","1.75 L",,48,6,19.95,04/01/2019
"0923B",,"CORRALEJO REPOSADO GOLD TEQUILA","750 ML",,80,6,34.95,04/01/2019
"0923H",,"CORRALEJO REPOSADO GOLD TEQUILA","1.75 L",,80,6,59.95,04/01/2019
"0924B",,"1800 REPOSADO TEQUILA","750 ML",,80,12,30.95,04/01/2019
"0924E",,"1800 REPOSADO TEQUILA","375 ML",,80,12,15.45,04/01/2019
"0924H",,"1800 REPOSADO TEQUILA","1.75 L",,80,6,38.95,04/01/2019
"0926B",,"FLORENTINO","750 ML",,70,12,3.00,04/01/2019
"0927B",,"KAMORA COFFEE LIQUEUR","750 ML",,40,12,10.95,04/01/2019
"0927H",,"KAMORA COFFEE LIQUEUR","1.75 L",,40,6,25.95,04/01/2019
"0928B",,"SINFIRE CINNAMON WHISKEY (CANADA)","750 ML",,70,12,15.95,04/01/2019
"0928E",,"SINFIRE CINNAMON WHISKEY (CANADA)","375 ML",,70,24,5.95,04/01/2019
"0928F",,"SINFIRE CINNAMON WHISKEY (CANADA)","50 ML",,70,120,1.50,04/01/2019
"0928H",,"SINFIRE CINNAMON WHISKEY (CANADA)","1.75 L",,70,6,26.95,04/01/2019
"0929B",,"HORNITOS REPOSADO TEQUILA","750 ML",,80,12,24.95,04/01/2019
"0929D",,"HORNITOS REPOSADO TEQUILA","200 ML",,80,24,8.95,04/01/2019
"0929F",,"HORNITOS REPOSADO TEQUILA","50 ML",,80,120,3.50,04/01/2019
"0929H",,"HORNITOS REPOSADO TEQUILA","1.75 L",,80,6,39.95,04/01/2019
"0930B",,"MONARCH TEQUILA GOLD","750 ML",,80,12,12.95,04/01/2019
"0930E",,"MONARCH TEQUILA GOLD","375 ML",,80,24,7.95,04/01/2019
"0930H",,"MONARCH TEQUILA GOLD","1.75 L",,80,6,24.95,04/01/2019
"0931B",,"SOUTHERN HOST 100 PROOF","750 ML",,100,12,11.45,04/01/2019
"0931E",,"SOUTHERN HOST 100 PROOF","375 ML",,100,24,6.45,04/01/2019
"0932B",,"KAHLUA ESPECIAL COFFEE LIQUEUR","750 ML",,70,12,19.95,04/01/2019
"0933B",,"MARGARITAVILLE SILVER TEQUILA","750 ML",,80,12,13.95,04/01/2019
"0933H",,"MARGARITAVILLE SILVER TEQUILA","1.75 L",,80,6,25.95,04/01/2019
"0934B",,"MILAGRO UNICO TEQUILA (LEYENDA DEL)","750 ML",,80,4,199.00,04/01/2019
"0935B",,"PIMMS CUP","750 ML",,50,12,21.95,04/01/2019
"0936B",,"SOBIESKI BIZON GRASS VODKA","750 ML",,80,12,9.00,04/01/2019
"0937B",,"MONARCH TEQUILA WHITE","750 ML",,80,12,12.95,04/01/2019
"0937H",,"MONARCH TEQUILA WHITE","1.75 L",,80,6,24.95,04/01/2019
"0939B",,"FIREBALL CINNAMON PET","750 ML",,66,12,15.95,04/01/2019
"0940B",,"GLENFIDDICH CASK OF DREAMS","750 ML",,80,3,59.00,04/01/2019
"0941B",,"YUKON JACK","750 ML",,100,12,19.95,04/01/2019
"0941D",,"YUKON JACK","200 ML",,100,48,6.25,04/01/2019
"0941E",,"YUKON JACK","375 ML",,100,24,9.95,04/01/2019
"0941F",,"YUKON JACK","50 ML",,100,120,2.25,04/01/2019
"0941H",,"YUKON JACK","1.75 L",,100,6,35.95,04/01/2019
"0942B",,"PUEBLO VIEJO REPOSADO TEQUILA","750 ML",,80,12,21.95,04/01/2019
"0943B",,"BAILEYS ORIGINAL IRISH CREAM LIQUEUR","750 ML",,34,12,24.95,04/01/2019
"0943E",,"BAILEYS ORIGINAL IRISH CREAM LIQUEUR","375 ML",,34,12,13.95,04/01/2019
"0943F",,"BAILEYS ORIGINAL IRISH CREAM LIQUEUR","50 ML",,34,80,2.75,04/01/2019
"0943H",,"BAILEYS ORIGINAL IRISH CREAM LIQUEUR","1.75 L",,34,6,44.95,04/01/2019
"0944B",,"DEKUYPER CREME DE MENTHE WHITE","750 ML",,60,12,10.95,04/01/2019
"0946B",,"PUEBLO VIEJO BLANCO","750 ML",,80,12,19.95,04/01/2019
"0946H",,"PUEBLO VIEJO BLANCO","1.75 L",,80,4,31.95,04/01/2019
"0947D",,"CLUB MUDSLIDE (CAN)","200 ML",,20,24,2.50,04/01/2019
"0948B",,"HEAVY WATER VODKA (SWEDEN)","750 ML",,80,6,20.00,04/01/2019
"0949B",,"COLORADO GOLD PREMIUM GIN","750 ML",,80,12,10.00,04/01/2019
"0950B",,"TARANTULA AZUL","750 ML",,70,12,17.95,04/01/2019
"0950F",,"TARANTULA AZUL","50 ML",,70,60,0.50,04/01/2019
"0950H",,"TARANTULA AZUL","1.75 L",,70,6,43.45,04/01/2019
"0951B",,"COLORADO GOLD PREMIUM VODKA","750 ML",,80,12,10.00,04/01/2019
"0952B",,"FEENEYS IRISH CREAM LIQUEUR","750 ML",,34,12,5.00,04/01/2019
"0953B",,"DEKUYPER CREME DE MENTHE GREEN","750 ML",,60,12,10.95,04/01/2019
"0954B",,"KILCHOMAN SINGLE MALT","750 ML",,92,6,62.00,04/01/2019
"0959B",,"DI SARONNO AMARETTO","750 ML",,56,12,26.95,04/01/2019
"0959E",,"DI SARONNO AMARETTO","375 ML",,56,12,14.95,04/01/2019
"0959F",,"DI SARONNO AMARETTO","50 ML",,56,120,3.00,04/01/2019
"0960B",,"AMARETTO DI AMORE CLASSICO","750 ML",,42,12,11.95,04/01/2019
"0961B",,"BURNSIDE BOURBON","750 ML",,96,12,5.00,04/01/2019
"0962B",,"POTTERS AMARETTO","750 ML",,48,12,6.95,04/01/2019
"0963B",,"GLENMORANGIE ARTEIN HIGHLAND SINGLE MALT","750 ML",,92,6,79.95,04/01/2019
"0965B",,"EBB & FLOW VODKA","750 ML",,80,6,10.00,04/01/2019
"0966B",,"CHATEAU MONET FRAMBOISE RASPBERRY LIQUER","750 ML",,33,12,18.95,04/01/2019
"0967B",,"BOLS BOHEMIAN RASPBERRY LIQUEUR","750 ML",,34,12,10.95,04/01/2019
"0968B",,"DEKUYPER RAZZMATAZZ RASP/LMNADE LIQUEUR","750 ML",,33,12,10.95,04/01/2019
"0969B",,"FRANGELICO","750 ML",,40,12,29.95,04/01/2019
"0969E",,"FRANGELICO","375 ML",,40,12,16.95,04/01/2019
"0969F",,"FRANGELICO","50 ML",,40,96,0.50,04/01/2019
"0969H",,"FRANGELICO","1.75 L",,40,6,35.00,04/01/2019
"0970B",,"DEKUYPER CREME DE COCOA WHITE LIQUEUR","750 ML",,54,12,10.95,04/01/2019
"0971B",,"BUSHMILLS IRISH HONEY","750 ML",,70,12,14.00,04/01/2019
"0971F",,"BUSHMILLS IRISH HONEY","50 ML",,70,120,1.75,04/01/2019
"0972B",,"CAPT. MORGAN BLACK SPICED RUM","750 ML",,95,12,19.95,04/01/2019
"0972F",,"CAPT. MORGAN BLACK SPICED RUM","50 ML",,95,120,0.50,04/01/2019
"0972H",,"CAPT. MORGAN BLACK SPICED RUM","1.75 L",,95,6,34.95,04/01/2019
"0973B",,"360 HUCKLEBERRY FLAVORED VODKA","750 ML",,70,12,15.95,04/01/2019
"0973H",,"360 HUCKLEBERRY FLAVORED VODKA","1.75 L",,70,6,10.00,04/01/2019
"0974B",,"NOCELLO WALNUT TOSCHI","750 ML",,48,6,5.00,04/01/2019
"0975B",,"POTTERS 30 PROOF CREAM DE CACAO DARK","750 ML",,48,12,2.00,04/01/2019
"0976B",,"BOLS CREAM DE CACAO DARK","750 ML",,50,12,3.00,04/01/2019
"0977B",,"OUZO 12","750 ML",,80,12,19.95,04/01/2019
"0978B",,"CALICO JACK CAKE","750 ML",,42,12,5.00,04/01/2019
"0979B",,"DEKUYPER CREME COCOA DARK LIQUEUR","750 ML",,54,12,10.95,04/01/2019
"0980B",,"CALLE 23 BLANCO 100% DE AGAVE","750 ML",,80,12,34.70,04/01/2019
"0981B",,"CALLE 23 RESPOSADO 100% DE AGAVE","750 ML",,80,12,37.55,04/01/2019
"0982B",,"CALLE 23 ANEJO 100% DE AGAVE","750 ML",,80,12,20.00,04/01/2019
"0984B",,"SMIRNOFF WILD HONEY","750 ML",,60,12,5.00,04/01/2019
"0984F",,"SMIRNOFF WILD HONEY","50 ML",,60,120,0.50,04/01/2019
"0985B",,"JACQUIN'S CREME DE CASSIS","750 ML",,32,12,12.10,04/01/2019
"0986B",,"KILCHOMAN 2006 5YR","750 ML",,92,6,77.00,04/01/2019
"0987B",,"COPA DE ORO MEXICAN","750 ML",,53,12,11.95,04/01/2019
"0988B",,"DUBOUCHETT CREME DE CASSIS","750 ML",,35,12,9.95,04/01/2019
"0989B",,"CLEAR CREEK KIRSCHWASSER","750 ML",,80,6,44.95,04/01/2019
"0989E",,"CLEAR CREEK KIRSCHWASSER","375 ML",,80,12,27.95,04/01/2019
"0989F",,"CLEAR CREEK KIRSCHWASSER","50 ML",,80,120,5.00,04/01/2019
"0989H",,"CLEAR CREEK KIRSCHWASSER","1.75 L",,80,6,10.00,04/01/2019
"0992B",,"KANSAS SPIRIT WHISKEY","750 ML",,80,6,15.00,04/01/2019
"0993B",,"MONARCH CRM D CACAO DARK (WAS ROYALE)","750 ML",,48,12,7.95,04/01/2019
"0994B",,"MONARCH AMARETTO (WAS ROYALE)","750 ML",,48,12,7.95,04/01/2019
"0994H",,"MONARCH AMARETTO (WAS ROYALE)","1.75 L",,48,6,14.95,04/01/2019
"0995B",,"MONARCH COFFEE LIQUEUR (WAS ROYALE)","750 ML",,40,12,7.95,04/01/2019
"0995H",,"MONARCH COFFEE LIQUEUR (WAS ROYALE)","1.75 L",,40,6,17.95,04/01/2019
"0996B",,"KAPALI DE CAFE COFFEE LIQUEUR","750 ML",,40,12,7.95,04/01/2019
"0998B",,"JOHN B. STETSON SR KENTUCKY MSH STRAIGHT","750 ML",,84,12,12.00,04/01/2019
"0999B",,"POTTERS COFFEE LIQUEUR 30 PROOF","750 ML",,40,12,7.90,04/01/2019
"1000B",,"LITTLE BLACK DRESS BLUEBERRY POMEGRANATE","750 ML",,65,12,5.00,04/01/2019
"1001B",,"TEQUILA ROSE STRAWBERRY AND COCOA CREAM","750 ML",,30,12,5.00,04/01/2019
"1001F",,"TEQUILA ROSE STRAWBERRY AND COCOA CREAM","50 ML",,30,60,1.75,04/01/2019
"1002B",,"TEQUILA ROSE STRAWBERRY AND JAVA CREAM","750 ML",,30,6,5.00,04/01/2019
"1002F",,"TEQUILA ROSE STRAWBERRY AND JAVA CREAM","50 ML",,30,60,1.75,04/01/2019
"1003B",,"LITTLE BLACK DRESS BLACK CHERRY","750 ML",,65,12,3.00,04/01/2019
"1004B",,"LITTLE BLACK DRESS PINEAPPLE HONEY","750 ML",,65,12,5.00,04/01/2019
"1005B",,"ISIS PREMUIM GIN","750 ML",,80,12,5.00,04/01/2019
"1006B",,"LADY BLIGH SPICED VI RUM","750 ML",,73,12,8.95,04/01/2019
"1006H",,"LADY BLIGH SPICED VI RUM","1.75 L",,73,6,19.95,04/01/2019
"1007B",,"TRES MUJERES REPOSADO TEQUILA","750 ML",,80,12,16.00,04/01/2019
"1010B",,"BRANDY PEAK BLACKBERRY LIQUEUR","750 ML",,65,12,3.00,04/01/2019
"1010E",,"BRANDY PEAK BLACKBERRY LIQUEUR","375 ML",,65,24,3.00,04/01/2019
"1011B",,"MACKINLAY LMTD SHACKLETON RARE OLD MALT","750 ML",,95,6,99.00,04/01/2019
"1012B",,"BLUE STATE STRAIGHT BOURBON","750 ML",,80,12,14.95,04/01/2019
"1013B",,"RED STATE STRAIGHT BOURBON","750 ML",,80,12,14.95,04/01/2019
"1014B",,"LITTLE BLACK DRESS VODKA","750 ML",,80,12,10.95,04/01/2019
"1015B",,"KOISHISO SHISO SHOCHU","750 ML",,14,6,12.00,04/01/2019
"1016B",,"IICHIKO FRASCO","750 ML",,60,6,20.00,04/01/2019
"1018B",,"DEKUYPER CREME DE BANANA","750 ML",,56,12,10.95,04/01/2019
"1019B",,"DEKUYPER BLUE","750 ML",,54,12,10.95,04/01/2019
"1020B",,"GRAND MARNIER RASPBERRY-PEACH","750 ML",,80,12,5.00,04/01/2019
"1020E",,"GRAND MARNIER RASPBERRY-PEACH","375 ML",,80,24,3.00,04/01/2019
"1021B",,"TEQUILA ROSE LIQUEUR","750 ML",,34,12,19.95,04/01/2019
"1021F",,"TEQUILA ROSE LIQUEUR","50 ML",,34,60,0.50,04/01/2019
"1022B",,"RYAN'S ORIGINAL CREME","750 ML",,34,12,11.95,04/01/2019
"1022H","@","RYAN'S ORIGINAL CREME","1.75 L",,34,6,22.95,04/01/2019
"1023H",,"BLUE HEAD MARGARITA READY TO DRINK","1.75 L",,27,6,17.95,04/01/2019
"1024B",,"WOODFORD RESERVE DOUBLE OAK","750 ML",,94,6,52.95,04/01/2019
"1025B",,"EMMET'S IRISH CREAM","750 ML",,34,12,9.95,04/01/2019
"1026B",,"KNICKERS IRISH CREAM WHISKEY","750 ML",,34,12,3.00,04/01/2019
"1027B",,"BRECKENRIDGE BOURBON WHISKEY (COLORADO)","750 ML",,86,6,46.95,04/01/2019
"1028B",,"DUGGAN'S CREAM LIQUEUR","750 ML",,34,12,11.95,04/01/2019
"1029B",,"BUSHMILLS IRISH CREME","750 ML",,34,12,10.00,04/01/2019
"1030B",,"HOUSE SPIRITS VOLSTEAD VODKA","750 ML",,80,6,19.95,04/01/2019
"1030H",,"HOUSE SPIRITS VOLSTEAD VODKA","1.75 L",,80,6,39.95,04/01/2019
"1032B",,"QUINCY MARKET TOASTED ALMOND","750 ML",,30,12,5.00,04/01/2019
"1033B",,"LEGACY CANADIAN WHISKY","750 ML",,80,6,19.95,04/01/2019
"1033F",,"LEGACY CANADIAN WHISKY","50 ML",,80,60,1.50,04/01/2019
"1033H",,"LEGACY CANADIAN WHISKY","1.75 L",,80,6,39.95,04/01/2019
"1034B",,"PINNACLE SALTED CARAMEL","750 ML",,70,12,5.00,04/01/2019
"1035B",,"HARLEQUIN ORANGE LIQUEUR","750 ML",,80,6,21.95,04/01/2019
"1036B",,"MR BOSTON'S ROCK & RYE","750 ML",,54,12,11.45,04/01/2019
"1037B",,"DEKUYPER ORANGE","750 ML",,60,12,10.95,04/01/2019
"1038B",,"ST. BRENDANS IRISH CREAM","750 ML",,34,12,12.95,04/01/2019
"1038D",,"ST. BRENDANS IRISH CREAM","200 ML",,34,12,2.50,04/01/2019
"1038H",,"ST. BRENDANS IRISH CREAM","1.75 L",,34,6,29.95,04/01/2019
"1039B",,"CAROLANS IRISH CREAM LIQUEUR","750 ML",,34,12,12.95,04/01/2019
"1039H",,"CAROLANS IRISH CREAM LIQUEUR","1.75 L",,34,6,29.95,04/01/2019
"1040B",,"MCGUIRE'S CREAM LIQUEUR","750 ML",,34,12,11.95,04/01/2019
"1041B",,"E & J CASK & CREAM SPECIALTY","750 ML",,34,12,5.00,04/01/2019
"1042B",,"PINNACLE PECAN PIE","750 ML",,70,12,5.00,04/01/2019
"1043B",,"DEKUYPER HAZELNUT BLISS LIQUEUR","750 ML",,56,12,10.95,04/01/2019
"1045B",,"BOLS 42 PROOF TRIPLE SEC","750 ML",,42,12,6.95,04/01/2019
"1046B",,"PATRON XO DARK COCOA","750 ML",,60,6,15.00,04/01/2019
"1046F",,"PATRON XO DARK COCOA","50 ML",,60,60,1.50,04/01/2019
"1047B",,"1800 COCONUT TEQUILA","750 ML",,70,12,30.95,04/01/2019
"1047F",,"1800 COCONUT TEQUILA","50 ML",,70,60,1.50,04/01/2019
"1049B",,"POTTERS TRIPLE SEC","750 ML",,30,12,4.80,04/01/2019
"1050B",,"ST. GEORGE SPIRITS TERROIR GIN","750 ML",,90,6,37.95,04/01/2019
"1051B","@","ST GEORGE BOTANIVORE GIN","750 ML",,90,6,37.95,04/01/2019
"1052B",,"C BY COURVOISIER","750 ML",,80,12,21.00,04/01/2019
"1053B",,"99 WHIPPED CREAM SCHNAPPS","750 ML",,99,12,13.95,04/01/2019
"1053F",,"99 WHIPPED CREAM SCHNAPPS","50 ML",,99,120,0.50,04/01/2019
"1054B",,"DEKUYPER TRIPLE SEC","750 ML",,30,12,5.95,04/01/2019
"1054H",,"DEKUYPER TRIPLE SEC","1.75 L",,30,6,11.45,04/01/2019
"1055B",,"DI AMORE QUATTRO ORANGE LIQUEUR","750 ML",,80,12,13.95,04/01/2019
"1055F",,"DI AMORE QUATTRO ORANGE LIQUEUR","50 ML",,80,120,0.50,04/01/2019
"1056B",,"MONARCH TRIPLE SEC (WAS ROYALE)","750 ML",,34,12,5.45,04/01/2019
"1056H",,"MONARCH TRIPLE SEC (WAS ROYALE)","1.75 L",,34,6,11.95,04/01/2019
"1057B",,"SUN VODKA","750 ML",,84,6,15.00,04/01/2019
"1058B",,"SUN HEDGE TRIMMER GIN","750 ML",,84,6,17.00,04/01/2019
"1060B",,"JIM BEAM TRIAGE:50ML BM BL/BM DVL/RD STG","750 ML","4 YRS",81,6,10.00,04/01/2019
"1061B",,"GRAND MONARCH ORANGE & BRANDY","750 ML",,80,12,15.95,04/01/2019
"1062B",,"PINNACLE PEACHBERRY COBBLER","750 ML",,70,12,7.00,04/01/2019
"1063B",,"PARROT BAY COCONUT PET","750 ML",,42,12,14.95,04/01/2019
"1063H",,"PARROT BAY COCONUT PET","1.75 L",,42,6,24.95,04/01/2019
"1064B",,"MALIBU RUM NATURAL COCONUT*","750 ML",,42,12,16.95,04/01/2019
"1064E",,"MALIBU RUM NATURAL COCONUT*","375 ML",,42,24,9.95,04/01/2019
"1064F",,"MALIBU RUM NATURAL COCONUT*","50 ML",,42,120,1.50,04/01/2019
"1064H",,"MALIBU RUM NATURAL COCONUT*","1.75 L",,42,6,27.95,04/01/2019
"1065B",,"GREEN GEISHA WASABI VODKA","750 ML",,80,12,19.95,04/01/2019
"1069B",,"AUCHENTOSHAN 1999 BORDEAUX CASK","750 ML","11 YRS",116,6,69.15,04/01/2019
"1070B",,"BUSNEL VSOP VIEILLE RESERVE CALVADOS","750 ML",,80,12,47.75,04/01/2019
"1071B",,"JIM BEAM SIGNATURE CRAFT SPANISH BRANDY","750 ML",,86,6,39.95,04/01/2019
"1072B",,"ARROW WHITE","750 ML",,60,12,10.45,04/01/2019
"1073B",,"ABERLOUR 12 YEAR NON CHILL FILTERED","750 ML",,96,6,59.95,04/01/2019
"1074B",,"ABSOLUT MIAMI (PASSION FRUIT/ORANGE BLS)","750 ML",,80,12,24.95,04/01/2019
"1075B",,"DR. MCGILLICUDDY'S VANILLA SCHNAPPS","750 ML",,48,12,14.95,04/01/2019
"1075F",,"DR. MCGILLICUDDY'S VANILLA SCHNAPPS","50 ML",,48,120,2.25,04/01/2019
"1078B",,"EVAN WILLIAMS FIRE (PREVIOUSLY CINNAMON)","750 ML",,70,12,12.95,04/01/2019
"1079B",,"BURNETT'S SUGAR COOKIE FLAVORED VODKA","750 ML",,70,12,5.00,04/01/2019
"1080B",,"DEKUYPER ISLAND PUNCH SCHNAPPS","750 ML",,30,12,10.95,04/01/2019
"1081B",,"BURNETT'S PEAR FLAVORED VODKA","750 ML",,70,12,7.95,04/01/2019
"1082B",,"ST. GEORGE BREAKING & ENTERING","750 ML",,86,6,20.00,04/01/2019
"1083B",,"WISER'S LEGACY","750 ML",,90,6,45.95,04/01/2019
"1084B",,"BELVEDERE LEMON TEA FLAVOR VODKA","750 ML",,80,6,10.00,04/01/2019
"1085B",,"HANGAR ONE BLUEBERRY","750 ML",,80,6,5.00,04/01/2019
"1086B",,"DEKUYPER PEACHTREE SCHNAPPS","750 ML",,30,12,10.95,04/01/2019
"1089B",,"PAPAGAYO ORGANIC WHITE RUM","750 ML",,80,6,5.00,04/01/2019
"1090B",,"WAHAKA REPOSADO MEZCAL","750 ML",,80,6,49.50,04/01/2019
"1091B",,"SMOOTH AMBLER OLD SCOUT STRAIGHT BOURBON","750 ML",,99,6,38.65,04/01/2019
"1092B",,"DEKUYPER BLUSTERY PEPPERMINT SCHNAPPS","750 ML",,60,12,10.95,04/01/2019
"1093B",,"SCHRANK'S PEPPERMINT SCHNAPPS","750 ML",,60,12,7.95,04/01/2019
"1093E",,"SCHRANK'S PEPPERMINT SCHNAPPS","375 ML",,60,24,5.45,04/01/2019
"1093H",,"SCHRANK'S PEPPERMINT SCHNAPPS","1.75 L",,60,6,12.85,04/01/2019
"1094B",,"ARROW PEPPERMINT SCHNAPPS","750 ML",,54,12,6.95,04/01/2019
